model_id,dataset_id,batching,batch_size,iteration,latency_ms,images_per_second,text_length_mean,text_length_max,generated_tokens_mean,generated_tokens_max
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,16,47,287.6777,55.6178,18.5625,20,8.1875,11
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,16,48,144.1551,110.9916,5.375,6,2.9375,4
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,16,49,561.103,28.5153,33.8125,44,15.625,23
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,0,289.8268,110.4108,7.6875,8,3.6875,5
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,1,256.6398,124.6884,5.3438,6,2.8438,4
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,2,616.4871,51.907,22.1562,24,9.9375,14
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,3,359.6072,88.986,9.8125,11,5.0,7
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,4,252.1406,126.9133,5.0,5,2.8438,4
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,5,222.516,143.8099,3.875,4,2.5,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,6,223.0663,143.4551,4.0,4,2.625,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,7,190.336,168.1237,1.7812,3,1.1875,2
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,8,693.9664,46.1117,27.75,31,11.5,16
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,9,361.0103,88.6401,9.8125,11,5.0,7
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,10,254.8532,125.5625,5.0,5,2.8438,4
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,11,288.736,110.8279,7.6875,8,3.6875,5
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,12,256.9285,124.5483,5.0,5,2.8438,4
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,13,222.5626,143.7798,4.0,4,2.625,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,14,222.7148,143.6815,4.0,4,2.625,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,15,290.2805,110.2382,7.6875,8,3.6875,5
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,16,615.7872,51.966,22.1562,24,9.9375,14
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,17,190.6641,167.8344,1.7812,3,1.1875,2
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,18,614.7773,52.0514,22.1562,24,9.9375,14
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,19,976.9458,32.7551,34.875,44,16.1562,23
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,20,255.1186,125.4318,5.0,5,2.8438,4
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,21,397.6087,80.4811,13.5625,16,6.3125,8
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,22,968.6422,33.0359,34.875,44,16.1562,23
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,23,971.4864,32.9392,34.875,44,16.1562,23
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,24,691.7868,46.257,27.75,31,11.5,16
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,25,190.6937,167.8084,1.7812,3,1.1875,2
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,26,695.6619,45.9994,27.75,31,11.5,16
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,27,356.7469,89.6995,9.8125,11,5.0,7
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,28,256.8779,124.5728,4.75,5,2.8438,4
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,29,292.9971,109.2161,7.6875,8,3.6875,5
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,30,358.9615,89.146,9.8125,11,5.0,7
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,31,255.5858,125.2026,5.3438,6,2.8438,4
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,32,223.6632,143.0722,4.0,4,2.625,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,33,156.8056,204.0744,1.0,1,1.0,1
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,34,291.0651,109.941,7.6875,8,3.6875,5
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,35,396.3938,80.7278,13.5625,16,6.3125,8
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,36,156.9001,203.9515,1.0,1,1.0,1
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,37,258.3547,123.8607,5.3438,6,2.8438,4
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,38,221.1719,144.6839,4.0,4,2.625,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,39,222.9346,143.5398,4.0,4,2.625,3
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,40,190.3735,168.0906,1.7812,3,1.1875,2
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,41,258.1906,123.9395,4.75,5,2.8438,4
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,42,615.0862,52.0252,22.1562,24,9.9375,14
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,43,360.1953,88.8407,9.8125,11,5.0,7
microsoft/trocr-base-printed,priyank-m/SROIE_2019_text_recognition,bucketed-text-length,32,44,614.5909,52.0672,22.1562,24,9.9375,14
